continente_mas_vendido,genero,plataforma_principal,puntuacion_critica,ventas_millones
Asia,Carreras,Mobile,86.5,6.35
Oceanía,Carreras,Xbox,82.1,13.08
América del Norte,Deportes,PlayStation,77.4,2.35
Asia,Estrategia,Nintendo,76.1,0.33999999999999997
Europa,Deportes,PC,76.0,0.27
Europa,RPG,Nintendo,83.6,1.33
América del Norte,RPG,Mobile,66.7,9.54
Asia,Estrategia,PC,75.0,2.69
América del Norte,Aventura,Mobile,90.8,1.2100000000000002
Europa,Deportes,PlayStation,91.1,1.8800000000000001
América del Norte,Acción,PC,66.2,3.29
Asia,Carreras,Mobile,68.9,3.8000000000000003
Asia,Carreras,PlayStation,75.8,0.6799999999999999
Asia,Estrategia,Nintendo,85.1,13.31
América del Norte,Aventura,PlayStation,63.4,2.85
América del Norte,RPG,Xbox,77.6,0.61
Europa,RPG,PlayStation,74.2,7.9399999999999995
Europa,Carreras,PlayStation,88.6,0.37
América del Norte,Estrategia,Xbox,64.6,8.44
Asia,Deportes,Mobile,78.7,19.96
Oceanía,RPG,Mobile,74.9,4.319999999999999
Asia,Deportes,PlayStation,89.8,5.25
Asia,Aventura,Xbox,82.8,1.54
Oceanía,RPG,Xbox,73.3,10.04
América del Norte,RPG,Nintendo,84.8,2.74
Europa,Shooter,Mobile,74.9,4.71
Oceanía,RPG,PC,86.0,9.12
América del Norte,Acción,Mobile,76.1,13.04
Asia,Estrategia,Mobile,86.4,6.369999999999999
Europa,Estrategia,Nintendo,81.5,1.36
Europa,Deportes,PC,100.0,11.99
Asia,Aventura,Nintendo,77.6,3.56
América del Sur,RPG,PC,81.1,9.44
Asia,Acción,PlayStation,74.2,4.05
América del Norte,Deportes,PC,78.0,1.3800000000000001
América del Sur,Shooter,Nintendo,56.4,1.7200000000000002
América del Norte,Deportes,Mobile,81.7,2.9
Europa,Deportes,PC,88.7,5.56
Europa,RPG,PC,81.2,1.4400000000000002
Europa,Shooter,Xbox,67.5,3.13
Europa,Deportes,Mobile,71.6,1.58
América del Sur,Acción,PlayStation,58.6,6.02
Asia,Acción,Nintendo,85.8,2.3000000000000003
Europa,Estrategia,PlayStation,69.9,0.38
América del Norte,Shooter,Mobile,77.8,0.74
América del Sur,Shooter,PC,76.8,0.32
América del Sur,Estrategia,PC,89.9,2.52
Asia,Deportes,Mobile,78.7,0.49
América del Norte,Shooter,PC,84.5,0.52
América del Norte,Acción,PC,82.4,10.01
América del Norte,Acción,PC,88.9,7.31
América del Norte,RPG,Nintendo,76.1,2.21
Europa,Shooter,Nintendo,93.0,14.99
América del Sur,Deportes,Xbox,62.1,0.1
Europa,Estrategia,PlayStation,84.9,3.43
América del Norte,Estrategia,Mobile,71.1,3.45
América del Norte,Deportes,Mobile,74.1,2.24
América del Norte,Aventura,Mobile,82.6,1.87
América del Norte,Carreras,Xbox,82.5,2.23
América del Norte,RPG,Nintendo,82.9,1.98
América del Norte,Estrategia,Xbox,66.9,4.6899999999999995
Asia,Shooter,Mobile,89.6,0.61
Oceanía,RPG,PlayStation,70.8,0.87
Europa,Shooter,PC,71.9,0.7999999999999999
Europa,Aventura,Nintendo,83.1,1.1700000000000002
Asia,Acción,Nintendo,75.7,2.71
América del Norte,RPG,Xbox,80.5,0.51
América del Norte,Estrategia,Nintendo,60.7,7.1899999999999995
América del Sur,RPG,Mobile,80.3,1.34
América del Norte,RPG,Mobile,79.7,0.72
Europa,RPG,Xbox,73.9,4.04
Europa,Carreras,Mobile,61.4,0.24000000000000002
América del Norte,RPG,PlayStation,76.3,3.49
América del Norte,Shooter,Xbox,77.7,4.29
Asia,Acción,PlayStation,75.1,0.95
América del Norte,Aventura,PC,63.3,0.25
América del Norte,Deportes,PlayStation,90.8,1.6800000000000002
Asia,RPG,PC,72.9,0.45999999999999996
Europa,Estrategia,PC,76.2,0.53
América del Norte,RPG,PlayStation,58.7,1.1300000000000001
América del Sur,Estrategia,Xbox,90.8,1.33
Europa,Shooter,Mobile,74.3,2.74
Asia,Estrategia,Mobile,78.8,4.07
Asia,Deportes,PC,87.0,3.24
Europa,Acción,PC,72.6,0.66
Europa,Estrategia,Xbox,85.7,0.76
Oceanía,Estrategia,Nintendo,61.5,7.489999999999999
América del Norte,Acción,PlayStation,82.4,2.96
Asia,Deportes,PC,90.6,7.239999999999999
América del Norte,RPG,Mobile,73.4,1.73
América del Norte,Estrategia,Xbox,87.0,3.44
América del Norte,Acción,PlayStation,92.7,2.7
América del Sur,Shooter,Xbox,76.0,1.4500000000000002
Oceanía,Acción,PlayStation,75.3,2.3200000000000003
América del Norte,Shooter,PlayStation,70.8,2.54
América del Norte,Deportes,PC,73.9,0.88
Asia,RPG,Xbox,71.5,1.4200000000000002
Europa,Acción,Xbox,70.8,5.59
América del Norte,Aventura,Mobile,87.6,8.76
Asia,Aventura,Mobile,71.7,1.6600000000000001
Europa,Carreras,PC,80.1,1.3800000000000001
Oceanía,Estrategia,PC,78.3,0.86
América del Norte,Deportes,Nintendo,90.0,4.07
Europa,Acción,Mobile,74.0,1.4700000000000002
Europa,Aventura,PlayStation,81.0,15.51
Asia,Estrategia,Xbox,84.3,1.48
Europa,Aventura,PC,89.9,1.85
Europa,Acción,Xbox,73.9,3.3400000000000003
América del Norte,Shooter,Xbox,73.1,5.76
Asia,Acción,Nintendo,69.5,2.3200000000000003
Europa,Carreras,Mobile,95.9,2.02
América del Norte,Acción,PC,89.1,19.12
Asia,Acción,Xbox,77.7,0.14
América del Norte,Carreras,PC,93.5,7.989999999999999
América del Norte,Deportes,PlayStation,77.2,0.6699999999999999
América del Sur,Acción,Nintendo,83.8,5.5
Europa,Carreras,PlayStation,78.1,3.47
Asia,Estrategia,PC,81.2,1.56
América del Norte,Shooter,PC,80.3,7.35
Asia,Shooter,Mobile,74.6,0.15000000000000002
América del Norte,Acción,Xbox,86.7,1.0
Europa,Deportes,Xbox,83.7,3.0300000000000002
Oceanía,Deportes,PlayStation,86.2,1.62
Asia,Estrategia,Nintendo,80.6,3.4
Europa,Acción,Xbox,70.7,0.19
América del Norte,Shooter,Mobile,91.7,0.53
América del Sur,Deportes,PlayStation,75.9,0.58
Europa,Acción,PlayStation,80.9,0.83
Asia,Aventura,Mobile,83.1,2.25
Asia,Deportes,Nintendo,80.9,4.9799999999999995
América del Norte,Carreras,Mobile,85.3,8.36
América del Norte,Aventura,Nintendo,86.6,6.409999999999999
Asia,Deportes,Mobile,76.2,0.87
América del Norte,Shooter,Mobile,91.0,2.14
América del Norte,RPG,PC,75.9,0.88
América del Sur,Aventura,PlayStation,80.7,1.1800000000000002
Europa,Estrategia,Mobile,74.9,2.5500000000000003
Asia,Estrategia,Mobile,72.6,0.35
Europa,Shooter,Xbox,86.4,0.96
Europa,Deportes,PlayStation,100.0,9.69
América del Norte,Acción,Xbox,75.1,2.3000000000000003
América del Norte,Deportes,PlayStation,87.7,2.16
América del Norte,Shooter,Xbox,75.4,0.15000000000000002
Europa,Estrategia,Mobile,77.9,1.09
Asia,Deportes,Mobile,92.1,7.14
Europa,Estrategia,PC,69.4,0.73
Europa,Aventura,Xbox,67.3,1.98
Europa,Acción,Nintendo,77.3,0.15000000000000002
América del Norte,Aventura,PC,83.3,2.38
Europa,Estrategia,Xbox,81.7,0.17
América del Norte,Estrategia,Xbox,80.9,6.09
América del Norte,RPG,PC,78.3,6.199999999999999
América del Norte,RPG,Mobile,84.3,5.52
Europa,Aventura,Xbox,54.7,1.27
Asia,Carreras,Mobile,72.0,6.449999999999999
América del Norte,Aventura,PC,77.3,2.8400000000000003
América del Norte,RPG,Mobile,83.6,1.74
Europa,Estrategia,PlayStation,89.9,3.54
América del Norte,Shooter,Nintendo,70.9,0.14
América del Sur,Aventura,Xbox,89.7,0.64
Europa,Estrategia,Nintendo,74.4,4.85
Europa,Shooter,Mobile,77.0,1.08
Europa,Shooter,Xbox,82.7,3.29
América del Norte,RPG,Mobile,76.4,1.8
Europa,Aventura,PlayStation,86.9,6.85
Europa,Deportes,PC,74.8,10.76
América del Sur,Acción,Xbox,74.9,7.63
América del Norte,RPG,PlayStation,86.4,1.2000000000000002
Europa,RPG,PlayStation,71.9,0.86
Europa,Deportes,Xbox,80.0,2.35
América del Norte,Acción,Mobile,64.7,0.13
Europa,Estrategia,PlayStation,92.6,0.19
Asia,Carreras,Nintendo,87.7,2.92
Asia,Aventura,PlayStation,100.0,2.67
América del Norte,Carreras,Mobile,88.7,18.360000000000003
Asia,Estrategia,Mobile,69.0,0.89
Oceanía,RPG,Nintendo,83.3,1.1400000000000001
América del Sur,Acción,PlayStation,70.7,0.52
América del Norte,RPG,Mobile,90.6,8.83
Asia,Shooter,Xbox,69.2,5.359999999999999
América del Norte,RPG,PC,68.8,6.1499999999999995
Oceanía,RPG,PC,65.1,8.26
Europa,Estrategia,PC,74.1,2.7
América del Norte,Estrategia,PlayStation,72.5,2.2
Asia,Estrategia,Nintendo,67.9,1.5
América del Norte,Carreras,Mobile,93.9,3.21
Oceanía,Shooter,Xbox,82.2,2.22
Oceanía,Estrategia,Xbox,81.3,2.2
Asia,Acción,PlayStation,90.7,9.77
América del Norte,Carreras,PC,80.1,14.58
Asia,Deportes,PlayStation,72.0,5.67
América del Norte,Acción,Nintendo,64.4,5.05
América del Norte,Aventura,Nintendo,71.6,4.09
Asia,Aventura,Mobile,90.0,0.74
América del Norte,Acción,Mobile,68.0,0.31
Europa,Estrategia,Nintendo,80.8,4.21
Oceanía,Deportes,Nintendo,86.3,4.67
América del Norte,Deportes,Nintendo,80.3,0.27
América del Norte,Carreras,PlayStation,81.2,9.31
América del Sur,Deportes,Nintendo,83.2,0.43000000000000005
América del Norte,Aventura,Xbox,81.0,1.28
Asia,Shooter,PC,90.9,4.01
Oceanía,Estrategia,Nintendo,69.7,0.75
América del Sur,Deportes,PC,79.9,0.30000000000000004
Asia,Carreras,PlayStation,63.5,1.51
América del Norte,Aventura,PC,61.4,5.18
América del Norte,Shooter,PlayStation,77.3,1.9700000000000002
Asia,RPG,Xbox,82.3,3.8000000000000003
América del Sur,RPG,PlayStation,91.0,3.13
Europa,Shooter,PlayStation,97.4,0.18
América del Norte,Aventura,Mobile,88.6,15.74
América del Norte,Carreras,Nintendo,83.8,0.25
América del Norte,Shooter,Nintendo,79.3,12.129999999999999
Asia,Estrategia,Xbox,65.8,2.89
Europa,Estrategia,Xbox,76.8,11.65
América del Sur,RPG,Nintendo,88.3,0.53
Asia,Deportes,Mobile,85.2,2.46
América del Norte,Carreras,Nintendo,67.7,0.75
Europa,RPG,Mobile,82.9,0.28
Europa,Deportes,Xbox,82.2,3.46
Europa,Deportes,PC,80.8,0.9199999999999999
Asia,Estrategia,Xbox,77.8,3.2
Asia,Aventura,Xbox,83.3,0.52
Asia,Acción,PlayStation,83.6,1.51
América del Norte,Aventura,PlayStation,72.9,5.43
América del Norte,Acción,PlayStation,81.6,2.11
Asia,Shooter,PlayStation,76.5,3.56
América del Norte,Estrategia,Mobile,66.1,3.75
América del Norte,Deportes,Nintendo,73.5,6.6
América del Norte,Carreras,PC,65.5,1.48
Asia,Acción,Xbox,85.8,4.17
América del Norte,Aventura,Mobile,80.8,11.51
Asia,Deportes,PC,75.2,4.6899999999999995
Oceanía,Acción,Mobile,89.4,2.46
América del Norte,Acción,Mobile,78.5,3.5900000000000003
América del Norte,Acción,Xbox,66.6,4.81
América del Norte,Carreras,Nintendo,74.5,3.42
América del Sur,Estrategia,PlayStation,91.1,0.16
América del Norte,Carreras,Nintendo,72.6,0.86
Europa,RPG,Xbox,80.2,5.92
América del Norte,Deportes,Xbox,84.0,1.2100000000000002
Asia,Estrategia,Xbox,82.7,4.699999999999999
Europa,Estrategia,PC,97.6,1.73
Asia,Estrategia,Nintendo,68.6,2.68
América del Sur,Aventura,Nintendo,69.4,0.35
América del Norte,Estrategia,Mobile,68.7,0.7999999999999999
Asia,Carreras,Mobile,75.6,11.129999999999999
América del Norte,Estrategia,Mobile,86.8,7.83
América del Sur,Shooter,Xbox,69.7,3.8000000000000003
Asia,Deportes,Nintendo,86.9,2.25
América del Sur,Estrategia,Xbox,78.3,4.04
América del Norte,Deportes,PC,69.1,3.47
América del Norte,Shooter,Mobile,64.0,3.04
Europa,Shooter,Xbox,65.8,0.31
Europa,Deportes,Xbox,72.7,3.61
América del Norte,Acción,PC,76.6,5.2299999999999995
Europa,RPG,PlayStation,88.8,18.05
América del Norte,Aventura,Nintendo,84.4,0.14
Europa,Acción,PlayStation,71.3,4.68
Asia,Acción,Mobile,81.3,3.0700000000000003
Europa,Carreras,Xbox,91.2,2.09
América del Norte,Aventura,PC,93.0,0.58
Europa,Aventura,PC,75.5,1.9400000000000002
América del Norte,Acción,Nintendo,85.7,1.6300000000000001
Oceanía,Estrategia,PlayStation,89.1,1.36
América del Norte,Carreras,Nintendo,65.9,4.6899999999999995
Asia,Carreras,Xbox,73.9,4.319999999999999
Oceanía,Shooter,Nintendo,95.8,3.21
Asia,Aventura,PC,75.6,9.87
Asia,Acción,PC,54.6,1.61
Asia,Shooter,Mobile,77.0,1.08
Oceanía,Deportes,Mobile,87.0,3.83
Europa,RPG,Xbox,78.1,0.88
Europa,Carreras,PlayStation,83.7,1.4200000000000002
Europa,Deportes,Nintendo,85.5,0.99
Europa,Deportes,Xbox,75.2,0.35
Europa,Estrategia,Mobile,73.8,6.25
Europa,RPG,Nintendo,79.2,1.1300000000000001
América del Norte,Deportes,Mobile,79.4,2.3400000000000003
América del Norte,Deportes,Nintendo,78.4,0.25
América del Norte,RPG,PlayStation,78.8,4.31
América del Norte,RPG,Xbox,72.0,1.5
América del Norte,Deportes,Nintendo,84.0,4.88
Europa,RPG,PC,82.8,1.9600000000000002
América del Norte,Deportes,PC,67.3,0.86
Asia,Deportes,Nintendo,74.9,2.62
América del Norte,Estrategia,Nintendo,78.7,0.59
América del Norte,Acción,Nintendo,73.7,2.13
Asia,Deportes,PC,83.1,1.4400000000000002
Europa,Shooter,PC,77.5,8.6
América del Norte,Carreras,Nintendo,79.4,0.32
América del Sur,Aventura,Mobile,74.8,4.239999999999999
América del Sur,Acción,Mobile,62.1,0.8099999999999999
América del Norte,Acción,PlayStation,61.6,1.4400000000000002
América del Norte,Acción,Xbox,82.7,1.98
Oceanía,Estrategia,Mobile,80.1,8.45
Europa,Deportes,PC,81.5,1.07
Europa,Estrategia,Mobile,79.1,0.44000000000000006
Asia,Deportes,PlayStation,79.7,1.4400000000000002
América del Norte,Estrategia,PlayStation,85.8,0.49
Europa,Estrategia,Xbox,81.6,0.58
América del Norte,Carreras,Mobile,86.3,3.0900000000000003
Asia,Shooter,PC,79.4,0.32
Europa,Estrategia,PC,75.6,0.21000000000000002
Asia,Carreras,Nintendo,79.6,4.489999999999999
América del Norte,RPG,PC,71.3,1.6700000000000002
América del Norte,Shooter,Xbox,75.0,0.57
Europa,Estrategia,Xbox,79.4,1.12
Asia,Aventura,PC,79.3,3.7
Europa,Acción,PC,77.1,1.23
América del Norte,RPG,Nintendo,66.9,2.49
América del Sur,RPG,PC,83.1,0.55
América del Norte,Carreras,Nintendo,84.7,3.2
Oceanía,RPG,Nintendo,91.1,1.4300000000000002
América del Norte,Shooter,PC,81.5,3.5500000000000003
Asia,Estrategia,PlayStation,78.0,5.88
América del Norte,Estrategia,PlayStation,69.9,3.41
América del Sur,Aventura,Nintendo,89.9,1.33
Europa,Acción,PC,80.0,1.1300000000000001
América del Norte,Carreras,PlayStation,79.5,1.49
América del Norte,Acción,PC,76.0,0.73
América del Norte,RPG,PC,75.5,0.7999999999999999
América del Norte,Aventura,PC,83.5,5.569999999999999
América del Sur,Acción,Mobile,69.8,1.8
Europa,Shooter,PC,91.0,2.1
Asia,Estrategia,Mobile,89.3,3.2600000000000002
Europa,RPG,Nintendo,75.2,3.22
Asia,Aventura,PlayStation,71.1,0.33999999999999997
América del Norte,Acción,PlayStation,61.9,6.33
América del Norte,Carreras,PlayStation,68.0,0.78
Asia,Shooter,PlayStation,83.8,4.59
Oceanía,Shooter,PlayStation,80.5,5.279999999999999
América del Norte,Acción,PlayStation,81.9,4.489999999999999
América del Norte,Estrategia,PlayStation,63.2,3.13
Europa,Acción,Nintendo,74.8,0.15000000000000002
Oceanía,RPG,PC,88.9,1.6600000000000001
América del Norte,Acción,Xbox,77.2,3.35
Europa,Shooter,Mobile,67.8,1.82
América del Sur,Aventura,Xbox,77.1,7.069999999999999
América del Norte,Acción,Xbox,71.8,1.3900000000000001
América del Norte,Estrategia,PC,80.7,1.32
Europa,Aventura,PC,78.2,1.1800000000000002
América del Sur,Carreras,PC,82.3,1.52
América del Norte,Deportes,PlayStation,68.3,2.95
Europa,Acción,Nintendo,74.4,4.3999999999999995
Europa,Estrategia,PlayStation,86.7,3.9
Europa,Aventura,Nintendo,67.2,5.869999999999999
Europa,Estrategia,Nintendo,70.0,7.699999999999999
Europa,Carreras,Xbox,79.6,6.029999999999999
Europa,Shooter,Xbox,80.3,0.17
Europa,Estrategia,Nintendo,74.1,4.76
Europa,Aventura,Nintendo,75.8,0.9199999999999999
Europa,Estrategia,PlayStation,82.3,0.6
América del Sur,Estrategia,PlayStation,84.8,3.66
América del Norte,Estrategia,Xbox,69.4,1.4500000000000002
Asia,RPG,PC,80.9,0.31
Asia,RPG,Nintendo,90.1,0.62
América del Norte,Shooter,PlayStation,77.1,0.1
Europa,Acción,Xbox,69.4,8.27
Europa,Estrategia,PlayStation,69.0,0.19
América del Norte,Carreras,Nintendo,76.7,0.9199999999999999
Europa,Acción,Nintendo,86.3,1.98
América del Norte,Carreras,Mobile,77.7,1.6400000000000001
América del Norte,Acción,PC,79.5,8.6
Asia,Shooter,Mobile,70.0,0.24000000000000002
América del Norte,Estrategia,Xbox,85.9,2.61
Asia,Estrategia,PlayStation,68.8,4.09
Europa,Deportes,Xbox,74.0,9.49
América del Sur,Carreras,Nintendo,83.0,3.49
Europa,Acción,Mobile,61.7,5.8
América del Norte,Acción,Mobile,79.4,0.41000000000000003
Asia,RPG,Mobile,69.7,1.81
América del Norte,Deportes,Xbox,78.1,1.74
Europa,Aventura,Nintendo,75.2,7.71
América del Sur,Aventura,PlayStation,94.8,0.6699999999999999
América del Norte,RPG,PlayStation,74.9,0.6799999999999999
Europa,RPG,Xbox,92.7,1.49
Asia,RPG,Mobile,82.7,0.30000000000000004
América del Sur,Carreras,PC,71.6,0.8099999999999999
Asia,Carreras,Xbox,80.6,11.85
América del Norte,Shooter,Xbox,75.6,2.06
Asia,Shooter,Nintendo,79.9,3.6
América del Norte,RPG,PlayStation,72.3,4.63
Asia,Deportes,Xbox,91.5,1.7000000000000002
Oceanía,Acción,Xbox,85.4,0.66
Asia,Carreras,Mobile,78.3,0.91
América del Sur,Deportes,Mobile,91.8,1.4200000000000002
América del Norte,Estrategia,PC,78.6,3.64
Asia,Carreras,Nintendo,86.8,1.8800000000000001
Asia,Carreras,PC,78.3,0.12000000000000001
América del Norte,Shooter,Mobile,81.2,2.69
América del Sur,Acción,PlayStation,77.3,9.01
América del Norte,Acción,Mobile,78.8,5.949999999999999
Asia,Aventura,Nintendo,79.4,6.199999999999999
Asia,Aventura,Mobile,72.6,5.6499999999999995
Asia,Aventura,Nintendo,74.8,1.4700000000000002
América del Norte,Aventura,Nintendo,76.3,5.17
Europa,Estrategia,Nintendo,79.8,0.64
Europa,Estrategia,Nintendo,77.8,3.85
América del Sur,Carreras,Nintendo,87.4,3.69
Europa,RPG,PlayStation,84.8,0.19
América del Norte,Shooter,PC,76.4,5.529999999999999
Asia,Shooter,Xbox,89.1,8.27
Europa,Aventura,PC,93.0,1.1900000000000002
Europa,Carreras,Nintendo,61.6,5.96
Europa,Deportes,PlayStation,85.5,0.4
América del Sur,RPG,Mobile,72.5,3.31
Europa,Carreras,PlayStation,84.4,2.43
Europa,RPG,Nintendo,87.9,2.86
América del Norte,RPG,PlayStation,71.0,9.219999999999999
América del Norte,RPG,PlayStation,63.2,7.279999999999999
América del Norte,Carreras,Nintendo,84.7,5.4799999999999995
América del Norte,Aventura,PlayStation,79.1,1.2200000000000002
Europa,Shooter,Xbox,64.7,8.6
Asia,Shooter,Xbox,98.2,0.45999999999999996
Europa,Aventura,PlayStation,83.0,6.819999999999999
Asia,RPG,Mobile,83.4,1.49
Oceanía,Deportes,Nintendo,88.9,0.29000000000000004
Asia,Acción,Xbox,73.4,3.97
Asia,Carreras,Mobile,79.0,1.02
Europa,Acción,PlayStation,67.4,1.08
Europa,Aventura,Mobile,73.1,1.3800000000000001
América del Norte,Deportes,PC,81.1,0.33
Europa,Carreras,Xbox,64.7,0.78
