region,producto,precio_promedio_mxn,indice_inflacion_local,variacion_porcentual_mensual,costo_transporte_mxn
Norte,Aceite (Litro),48.36,6.16,4.56,23.4
Occidente,Leche (Litro),49.66,4.83,-0.8,6.9
Norte,Frijol (Kg),56.16,4.87,-0.96,15.88
Occidente,Leche (Litro),40.15,6.12,1.14,19.81
Norte,Aceite (Litro),29.88,3.7,-0.4,20.14
Occidente,Tortilla (Kg),49.1,4.89,-0.14,17.13
Centro,Tortilla (Kg),58.8,5.35,-0.47,8.34
Occidente,Frijol (Kg),55.43,5.56,-0.09,20.95
Norte,Leche (Litro),49.26,4.79,2.8,19.4
Centro,Leche (Litro),45.05,5.23,1.17,6.72
Occidente,Leche (Litro),52.84,3.21,1.27,14.28
Centro,Tortilla (Kg),42.16,4.67,-0.8,8.48
Centro,Leche (Litro),50.86,5.56,-0.67,11.75
Sur,Huevo (Kg),51.03,4.41,-1.2,5.36
Centro,Frijol (Kg),54.36,5.25,-0.49,13.01
Centro,Huevo (Kg),64.56,5.56,1.43,16.0
Centro,Tortilla (Kg),50.35,4.93,0.75,17.39
Occidente,Tortilla (Kg),44.95,5.34,-0.06,18.27
Norte,Tortilla (Kg),47.85,4.43,0.13,21.73
Norte,Frijol (Kg),37.39,5.03,-0.41,9.31
Occidente,Tortilla (Kg),43.83,5.69,0.36,7.41
Occidente,Tortilla (Kg),45.54,5.33,1.11,22.03
Centro,Huevo (Kg),44.86,4.73,-0.87,8.13
Centro,Tortilla (Kg),48.91,5.38,0.47,24.5
Norte,Huevo (Kg),43.07,5.77,1.38,21.85
Norte,Huevo (Kg),54.73,3.56,-0.21,15.02
Centro,Frijol (Kg),48.0,6.13,1.01,24.63
Centro,Frijol (Kg),47.94,4.93,7.42,6.95
Centro,Frijol (Kg),46.03,5.54,0.05,11.06
Norte,Tortilla (Kg),48.93,6.16,0.59,17.76
Occidente,Tortilla (Kg),52.95,4.1,-0.44,12.0
Occidente,Aceite (Litro),42.8,4.63,0.34,23.57
Sur,Frijol (Kg),44.05,4.97,0.67,6.31
Centro,Tortilla (Kg),46.18,4.57,0.35,15.99
Centro,Huevo (Kg),39.92,6.59,-0.61,16.82
Sur,Tortilla (Kg),43.08,4.51,0.37,18.05
Sur,Tortilla (Kg),45.14,4.76,2.46,10.11
Norte,Tortilla (Kg),53.25,5.36,0.66,12.29
Occidente,Frijol (Kg),49.58,4.24,1.44,21.87
Sur,Frijol (Kg),49.16,4.88,-0.07,8.9
Occidente,Frijol (Kg),53.11,5.45,1.09,21.54
Sur,Leche (Litro),47.18,4.93,0.45,16.25
Centro,Leche (Litro),50.34,5.13,-0.57,20.24
Centro,Leche (Litro),47.38,4.78,0.5,19.27
Occidente,Aceite (Litro),49.59,3.99,-0.59,9.15
Occidente,Huevo (Kg),44.5,5.46,-0.37,16.38
Norte,Huevo (Kg),33.37,6.6,0.35,22.35
Norte,Huevo (Kg),47.19,5.21,0.47,13.64
Centro,Frijol (Kg),56.54,5.38,-0.69,24.33
Sur,Aceite (Litro),53.56,5.75,1.6,14.04
Occidente,Huevo (Kg),53.79,4.18,0.82,7.86
Norte,Aceite (Litro),55.42,6.56,-0.42,12.79
Centro,Huevo (Kg),48.53,5.36,-0.84,24.03
Centro,Aceite (Litro),49.18,6.51,0.01,11.39
Occidente,Tortilla (Kg),44.29,4.61,-0.24,22.36
Sur,Huevo (Kg),46.1,6.65,0.26,22.63
Sur,Tortilla (Kg),51.69,5.82,-0.17,12.0
Centro,Tortilla (Kg),55.22,5.64,-1.01,6.67
Centro,Tortilla (Kg),47.16,5.39,-0.19,19.49
Norte,Tortilla (Kg),45.3,5.0,-0.13,11.23
Norte,Leche (Litro),48.0,6.16,0.91,20.66
Occidente,Frijol (Kg),51.61,5.31,-0.42,13.85
Sur,Tortilla (Kg),39.34,3.63,3.01,14.71
Occidente,Frijol (Kg),34.22,4.31,-0.98,20.56
Occidente,Leche (Litro),44.7,5.05,2.12,12.65
Centro,Tortilla (Kg),40.68,5.45,-0.06,13.86
Sur,Tortilla (Kg),44.95,5.15,1.26,12.52
Occidente,Huevo (Kg),47.11,6.18,0.23,12.35
Sur,Huevo (Kg),45.28,3.64,1.77,15.52
Norte,Frijol (Kg),56.71,5.31,-0.19,21.18
Centro,Huevo (Kg),49.96,3.75,-0.65,12.24
Norte,Frijol (Kg),49.8,5.81,2.37,15.49
Occidente,Leche (Litro),51.73,5.12,0.04,18.41
Centro,Huevo (Kg),41.17,5.54,0.38,10.39
Norte,Frijol (Kg),54.23,4.51,1.96,10.55
Sur,Tortilla (Kg),47.55,6.22,-0.61,23.67
Centro,Aceite (Litro),52.02,6.03,0.86,19.47
Centro,Tortilla (Kg),41.57,5.67,-0.34,16.54
Norte,Leche (Litro),38.68,5.1,0.02,17.95
Sur,Frijol (Kg),52.91,5.66,0.22,5.59
Centro,Huevo (Kg),50.26,4.63,-0.83,17.36
Sur,Frijol (Kg),42.59,5.88,-0.47,15.19
Centro,Aceite (Litro),42.78,6.52,2.21,15.91
Occidente,Frijol (Kg),54.75,6.06,1.31,12.19
Centro,Leche (Litro),40.86,4.62,0.09,6.63
Centro,Aceite (Litro),57.86,5.49,0.41,8.87
Occidente,Huevo (Kg),42.6,4.17,-0.12,24.01
Centro,Huevo (Kg),51.83,5.66,2.22,13.17
Norte,Frijol (Kg),46.03,5.56,-0.04,14.33
Norte,Tortilla (Kg),51.62,3.7,0.39,6.05
Sur,Leche (Litro),44.74,4.27,1.78,5.75
Centro,Aceite (Litro),47.02,4.97,-0.47,19.34
Sur,Tortilla (Kg),48.25,4.96,2.7,15.76
Norte,Huevo (Kg),41.99,4.23,-0.84,15.17
Norte,Leche (Litro),52.44,5.51,2.88,9.86
Norte,Tortilla (Kg),44.92,5.4,-0.18,19.9
Centro,Leche (Litro),46.63,5.04,-0.07,8.36
Centro,Tortilla (Kg),42.03,4.6,-0.97,8.8
Centro,Frijol (Kg),32.63,6.04,-0.25,14.21
Centro,Huevo (Kg),46.85,6.52,-0.62,10.73
Occidente,Frijol (Kg),62.48,4.81,-0.35,9.95
Centro,Tortilla (Kg),52.71,4.71,0.02,17.9
Centro,Frijol (Kg),47.88,5.59,1.43,18.02
Sur,Huevo (Kg),46.42,4.91,0.37,21.49
Centro,Leche (Litro),48.13,5.09,0.48,13.35
Centro,Aceite (Litro),51.28,5.79,-0.65,6.46
Occidente,Huevo (Kg),40.92,3.67,-0.53,10.47
Occidente,Huevo (Kg),54.69,6.25,3.35,24.6
Norte,Huevo (Kg),52.29,5.26,-0.44,16.93
Occidente,Frijol (Kg),52.31,4.87,2.95,19.19
Centro,Frijol (Kg),50.63,5.13,-0.08,5.15
Norte,Frijol (Kg),48.12,5.17,0.15,15.36
Centro,Huevo (Kg),52.04,3.82,1.63,5.75
Occidente,Tortilla (Kg),51.55,6.4,2.04,16.38
Centro,Frijol (Kg),45.88,5.23,0.04,23.42
Centro,Tortilla (Kg),44.56,5.55,-0.19,24.37
Centro,Aceite (Litro),48.61,5.96,0.09,15.81
Norte,Huevo (Kg),57.29,4.38,0.52,14.16
Norte,Frijol (Kg),40.57,5.58,1.31,23.9
Norte,Tortilla (Kg),39.19,4.99,0.15,18.47
Norte,Tortilla (Kg),48.99,5.88,0.89,6.3
Norte,Leche (Litro),48.31,3.5,2.91,14.31
Norte,Frijol (Kg),49.04,5.12,0.57,9.8
Centro,Aceite (Litro),49.46,4.72,0.49,14.4
Norte,Huevo (Kg),46.66,5.55,-0.84,14.11
Centro,Huevo (Kg),56.94,5.58,-1.16,16.64
Occidente,Leche (Litro),38.39,4.63,0.58,12.14
Centro,Frijol (Kg),43.03,4.63,0.06,8.29
Sur,Tortilla (Kg),47.38,5.11,-0.29,15.07
Norte,Huevo (Kg),38.14,4.48,0.41,21.6
Norte,Huevo (Kg),46.94,5.87,0.09,18.28
Norte,Aceite (Litro),57.97,4.9,1.74,11.77
Norte,Huevo (Kg),48.13,2.87,0.24,23.71
Norte,Tortilla (Kg),49.38,4.9,-0.45,23.24
Norte,Huevo (Kg),40.44,4.37,1.49,9.19
Norte,Tortilla (Kg),44.3,3.89,-0.05,5.79
Norte,Huevo (Kg),45.75,4.21,0.76,19.83
Centro,Frijol (Kg),46.09,5.29,-0.26,21.55
Norte,Huevo (Kg),55.69,6.26,-0.38,24.36
Centro,Leche (Litro),51.35,5.45,0.23,22.8
Centro,Huevo (Kg),41.33,4.71,0.16,17.01
Sur,Frijol (Kg),49.48,5.56,0.7,15.6
Norte,Aceite (Litro),50.99,4.83,-0.1,5.56
Sur,Frijol (Kg),54.84,4.64,-0.95,9.93
Centro,Frijol (Kg),57.48,4.28,-0.23,14.19
Norte,Tortilla (Kg),41.91,3.8,1.15,17.57
Occidente,Tortilla (Kg),43.13,4.89,-0.12,16.15
Occidente,Frijol (Kg),40.45,5.33,-0.08,19.85
Norte,Aceite (Litro),46.6,5.12,1.48,10.6
Norte,Frijol (Kg),50.8,4.87,-0.42,16.3
Sur,Frijol (Kg),53.92,4.44,-0.85,6.76
Sur,Leche (Litro),47.54,5.69,-0.0,13.27
Norte,Tortilla (Kg),46.08,4.15,-0.27,20.0
Norte,Huevo (Kg),48.91,5.82,-0.58,18.87
Centro,Frijol (Kg),42.99,4.4,-0.02,24.81
Centro,Aceite (Litro),60.54,4.6,0.71,10.56
Centro,Huevo (Kg),38.35,4.03,0.14,14.96
Centro,Frijol (Kg),49.11,4.8,0.48,11.59
Centro,Huevo (Kg),60.14,5.98,3.39,13.81
Sur,Frijol (Kg),48.04,5.61,-0.16,22.14
Norte,Huevo (Kg),46.86,5.98,0.45,18.68
Norte,Tortilla (Kg),45.86,5.62,-0.29,22.65
Sur,Leche (Litro),46.92,4.32,-0.51,9.07
Occidente,Tortilla (Kg),56.24,4.94,-0.34,22.47
Centro,Frijol (Kg),34.73,4.58,-0.26,6.2
Centro,Leche (Litro),57.2,6.26,0.55,22.77
Norte,Aceite (Litro),39.46,4.24,5.25,11.58
Centro,Huevo (Kg),46.4,5.91,-0.43,11.29
Centro,Tortilla (Kg),45.42,5.91,-0.22,15.24
Norte,Huevo (Kg),51.53,6.66,0.09,23.81
Norte,Aceite (Litro),38.41,4.87,0.59,5.96
Centro,Aceite (Litro),50.77,5.77,0.43,12.04
Norte,Frijol (Kg),60.15,7.03,2.06,22.13
Centro,Leche (Litro),39.82,4.71,-1.12,12.92
Norte,Frijol (Kg),49.14,3.97,-1.11,8.98
Centro,Frijol (Kg),44.03,3.7,-0.28,13.5
Norte,Huevo (Kg),50.56,5.77,1.68,12.71
Occidente,Leche (Litro),48.11,3.69,-0.86,23.31
Centro,Huevo (Kg),44.15,4.9,-1.23,20.24
Sur,Leche (Litro),50.93,5.55,0.82,15.1
Sur,Leche (Litro),58.83,5.35,0.41,24.77
Centro,Leche (Litro),46.85,5.54,-0.64,14.31
Norte,Huevo (Kg),52.32,5.38,-0.59,6.16
Centro,Tortilla (Kg),40.24,6.22,-0.58,10.25
Centro,Tortilla (Kg),42.26,4.44,0.26,13.72
Sur,Tortilla (Kg),50.83,4.66,-0.37,8.14
Centro,Huevo (Kg),56.9,4.58,0.72,23.95
Norte,Aceite (Litro),50.13,5.86,-1.2,20.34
Norte,Frijol (Kg),46.12,5.92,-0.51,10.37
Centro,Tortilla (Kg),48.0,5.56,-0.66,16.82
Centro,Tortilla (Kg),40.5,6.15,-0.09,19.43
Centro,Tortilla (Kg),51.63,4.26,-0.31,23.83
Centro,Frijol (Kg),53.29,6.53,1.16,22.63
Occidente,Frijol (Kg),45.29,6.42,-0.96,15.3
Centro,Aceite (Litro),45.18,5.79,0.19,20.49
Norte,Tortilla (Kg),49.6,6.63,0.8,16.24
Norte,Aceite (Litro),45.38,3.87,3.52,16.05
Norte,Aceite (Litro),47.6,4.78,-0.27,7.29
Norte,Huevo (Kg),60.6,4.61,0.5,7.52
Norte,Aceite (Litro),46.52,5.78,-0.94,15.59
Norte,Huevo (Kg),45.85,4.36,-1.11,10.38
Norte,Leche (Litro),44.11,5.81,1.24,5.42
Norte,Tortilla (Kg),52.47,6.3,0.14,19.46
Occidente,Aceite (Litro),46.91,5.76,1.84,5.65
Norte,Aceite (Litro),44.1,5.43,-0.78,16.91
Centro,Leche (Litro),55.93,4.41,0.75,15.78
Centro,Leche (Litro),56.52,4.52,3.56,24.38
Occidente,Tortilla (Kg),44.4,6.2,0.62,14.68
Norte,Huevo (Kg),36.8,5.82,0.45,6.27
Centro,Tortilla (Kg),54.05,5.17,0.16,16.03
Occidente,Huevo (Kg),43.89,4.87,-0.86,21.82
Occidente,Frijol (Kg),52.74,3.58,2.22,24.94
Sur,Tortilla (Kg),36.18,4.34,-0.36,13.61
Norte,Aceite (Litro),53.36,6.73,0.73,11.41
Norte,Frijol (Kg),40.73,4.18,-0.85,23.13
Sur,Leche (Litro),52.38,5.35,-0.69,8.82
Occidente,Huevo (Kg),48.09,6.01,2.4,17.31
Centro,Aceite (Litro),42.28,4.2,-0.16,13.11
Centro,Aceite (Litro),45.56,5.35,2.44,5.82
Norte,Tortilla (Kg),52.12,5.95,0.07,11.95
Sur,Frijol (Kg),48.64,5.21,-0.95,10.3
Norte,Leche (Litro),51.51,7.49,1.32,18.72
Centro,Huevo (Kg),59.86,3.87,-0.34,23.98
Centro,Frijol (Kg),38.61,6.05,1.01,10.36
Centro,Tortilla (Kg),57.7,5.06,0.17,21.23
Norte,Huevo (Kg),48.63,5.82,-0.85,6.11
Norte,Tortilla (Kg),42.61,5.55,0.32,15.76
Centro,Huevo (Kg),40.02,4.61,4.66,6.41
Norte,Huevo (Kg),46.87,5.38,0.72,23.68
Centro,Huevo (Kg),53.53,3.71,0.09,20.33
Norte,Aceite (Litro),47.23,5.68,1.64,18.16
Centro,Frijol (Kg),57.07,5.44,0.37,21.48
Centro,Aceite (Litro),39.29,5.71,0.37,17.95
Norte,Tortilla (Kg),47.93,6.05,-0.64,24.38
Centro,Tortilla (Kg),40.49,5.49,0.4,19.28
Norte,Frijol (Kg),50.18,5.32,1.57,23.49
Norte,Tortilla (Kg),53.32,4.5,-0.5,15.34
Occidente,Huevo (Kg),45.48,4.63,2.38,7.34
Centro,Frijol (Kg),32.37,6.15,0.06,15.56
Sur,Huevo (Kg),49.19,6.35,-0.53,7.54
Norte,Frijol (Kg),50.62,5.01,1.5,16.85
Sur,Frijol (Kg),50.43,5.24,-0.11,14.65
Sur,Huevo (Kg),55.41,4.48,1.1,17.45
Centro,Huevo (Kg),41.57,6.14,-0.12,5.2
Centro,Leche (Litro),52.08,5.73,0.09,8.9
Centro,Tortilla (Kg),55.16,6.75,0.72,14.83
Centro,Huevo (Kg),37.33,4.5,0.46,24.01
Occidente,Aceite (Litro),49.92,4.9,-1.0,12.67
Sur,Huevo (Kg),44.97,5.39,-0.66,13.49
Occidente,Frijol (Kg),47.51,5.72,1.38,19.29
Norte,Aceite (Litro),50.09,5.03,0.02,17.08
Sur,Huevo (Kg),45.08,4.5,-0.3,10.98
Occidente,Huevo (Kg),43.95,5.91,-25.0,13.22
Norte,Huevo (Kg),48.2,5.78,-0.64,9.35
Norte,Tortilla (Kg),41.48,4.47,-1.01,24.32
Sur,Huevo (Kg),41.49,6.28,0.05,7.61
Centro,Frijol (Kg),52.08,6.14,-0.35,12.44
Sur,Huevo (Kg),41.11,5.31,-0.58,5.52
Norte,Frijol (Kg),52.0,5.26,0.08,9.44
Sur,Aceite (Litro),50.78,5.64,0.55,20.61
Norte,Leche (Litro),37.65,4.51,4.29,9.02
Norte,Frijol (Kg),43.93,5.22,-0.83,6.6
Norte,Tortilla (Kg),55.16,3.48,1.81,14.49
Sur,Frijol (Kg),42.11,5.9,1.46,5.2
Sur,Frijol (Kg),45.21,3.95,-0.47,6.7
Centro,Tortilla (Kg),50.77,6.4,0.36,21.15
Centro,Huevo (Kg),52.7,4.94,-0.25,20.43
Occidente,Aceite (Litro),46.49,5.03,0.34,23.3
Centro,Tortilla (Kg),44.41,4.7,2.58,22.09
Sur,Huevo (Kg),56.53,4.97,0.87,18.66
Centro,Tortilla (Kg),58.43,6.33,0.74,6.05
Centro,Tortilla (Kg),53.87,3.21,-0.23,20.66
Centro,Leche (Litro),48.51,6.22,-0.82,21.91
Centro,Leche (Litro),43.15,5.47,-0.05,20.98
Sur,Leche (Litro),43.02,4.23,1.9,15.17
Centro,Huevo (Kg),51.14,4.34,-0.84,9.66
Norte,Tortilla (Kg),50.51,6.54,-0.62,21.91
Occidente,Tortilla (Kg),56.41,4.44,0.28,19.54
Centro,Huevo (Kg),51.9,4.28,-0.59,24.62
Centro,Tortilla (Kg),38.98,6.11,-0.48,8.11
Occidente,Leche (Litro),54.31,5.47,-0.22,9.51
Centro,Huevo (Kg),42.01,4.45,-0.77,9.24
Norte,Frijol (Kg),45.7,5.37,-0.58,20.85
Occidente,Huevo (Kg),49.5,4.38,1.01,8.74
Centro,Huevo (Kg),59.97,6.08,-0.75,6.33
Centro,Huevo (Kg),66.66,6.05,-0.87,24.97
Norte,Aceite (Litro),51.64,5.63,-0.37,5.5
Sur,Leche (Litro),46.9,5.49,1.06,21.7
Centro,Aceite (Litro),51.21,6.61,-0.04,12.31
Centro,Tortilla (Kg),53.33,5.2,-0.25,21.83
Occidente,Huevo (Kg),46.08,4.25,0.19,16.09
Sur,Frijol (Kg),58.77,5.56,-0.92,23.03
Norte,Tortilla (Kg),49.38,6.87,0.72,23.52
Centro,Leche (Litro),50.99,4.39,0.58,5.18
Norte,Huevo (Kg),52.0,4.91,-0.21,6.51
Sur,Tortilla (Kg),50.53,5.53,1.51,10.01
Norte,Huevo (Kg),53.03,5.16,-0.66,18.39
Centro,Tortilla (Kg),44.3,4.41,1.74,22.77
Sur,Leche (Litro),44.65,6.1,0.31,14.2
Occidente,Tortilla (Kg),41.4,7.06,-0.15,17.14
Centro,Tortilla (Kg),50.64,5.36,0.13,8.77
Sur,Tortilla (Kg),52.67,4.48,0.05,21.1
Norte,Tortilla (Kg),50.75,3.96,1.93,24.35
Sur,Leche (Litro),58.05,5.41,-0.64,10.37
Norte,Aceite (Litro),47.97,6.08,-0.46,14.9
Centro,Aceite (Litro),52.01,5.58,1.57,6.72
Sur,Leche (Litro),41.45,5.2,-0.35,16.18
Norte,Tortilla (Kg),45.68,4.73,1.33,15.06
Norte,Frijol (Kg),52.17,4.33,3.07,7.89
Sur,Tortilla (Kg),53.09,5.87,-0.2,13.84
Sur,Tortilla (Kg),46.24,5.93,0.98,11.68
Centro,Leche (Litro),47.57,3.96,-0.67,15.44
Sur,Huevo (Kg),38.89,6.47,1.09,16.71
Centro,Aceite (Litro),45.86,5.66,0.36,5.17
Norte,Tortilla (Kg),53.34,6.32,0.69,20.22
Centro,Frijol (Kg),51.45,4.13,-0.38,19.26
Norte,Frijol (Kg),51.0,4.11,-0.89,12.33
Occidente,Aceite (Litro),48.3,5.08,0.73,6.06
Centro,Frijol (Kg),48.04,5.6,-1.02,20.1
Centro,Frijol (Kg),44.04,6.64,-0.14,24.1
Centro,Huevo (Kg),52.19,5.76,1.4,9.8
Occidente,Frijol (Kg),50.53,5.01,0.35,11.47
Norte,Huevo (Kg),50.95,4.38,3.81,8.68
Centro,Leche (Litro),44.84,6.18,1.55,16.54
Centro,Frijol (Kg),35.08,4.43,-0.39,8.1
Centro,Frijol (Kg),54.58,6.5,0.18,12.12
Norte,Huevo (Kg),45.13,4.97,0.1,18.94
Occidente,Huevo (Kg),42.82,6.47,-0.86,16.2
Occidente,Leche (Litro),52.16,5.74,-0.56,12.73
Centro,Huevo (Kg),45.65,5.09,-0.32,13.4
Sur,Huevo (Kg),54.36,4.78,-1.01,16.24
Occidente,Huevo (Kg),51.7,4.93,0.2,5.12
Sur,Aceite (Litro),52.1,5.54,-0.08,6.57
Norte,Leche (Litro),39.8,5.26,-0.9,22.63
Centro,Tortilla (Kg),55.27,4.72,0.6,6.56
Centro,Tortilla (Kg),49.57,5.07,1.03,19.14
Centro,Tortilla (Kg),45.78,5.26,0.39,23.4
Sur,Leche (Litro),48.86,3.5,-0.14,10.41
Occidente,Frijol (Kg),37.34,5.57,0.85,12.41
Occidente,Huevo (Kg),50.45,4.42,0.98,16.38
Centro,Huevo (Kg),41.82,4.28,0.48,22.63
Norte,Huevo (Kg),39.88,3.85,-0.49,23.84
Occidente,Frijol (Kg),38.87,3.76,0.45,19.79
Sur,Leche (Litro),54.68,4.12,1.88,6.73
Norte,Tortilla (Kg),44.22,4.63,-0.35,18.38
Occidente,Huevo (Kg),57.2,6.76,4.31,13.21
Occidente,Huevo (Kg),44.79,4.78,-0.3,14.41
Centro,Aceite (Litro),37.76,5.34,0.18,5.98
Centro,Tortilla (Kg),41.3,5.52,-0.4,8.82
Centro,Leche (Litro),55.41,5.3,0.39,20.81
Norte,Frijol (Kg),47.06,5.14,-0.92,14.08
Centro,Tortilla (Kg),44.71,4.24,-0.31,11.03
Sur,Huevo (Kg),48.96,6.36,-0.64,12.68
Norte,Huevo (Kg),51.01,6.65,0.29,22.09
Centro,Frijol (Kg),54.7,3.85,1.49,19.98
Centro,Leche (Litro),56.69,4.38,0.93,10.45
Centro,Frijol (Kg),45.84,4.98,-1.1,7.35
Occidente,Frijol (Kg),40.04,4.43,4.11,10.04
Centro,Huevo (Kg),45.52,5.6,0.47,23.42
Centro,Aceite (Litro),49.56,4.62,-0.47,16.63
Sur,Leche (Litro),42.22,6.93,0.31,15.67
Centro,Tortilla (Kg),42.26,6.15,0.33,16.93
Norte,Aceite (Litro),50.06,5.37,-0.39,12.32
Centro,Frijol (Kg),47.71,6.02,0.36,21.14
Norte,Frijol (Kg),48.2,6.08,-0.35,15.47
Norte,Leche (Litro),43.45,4.75,-0.21,7.33
Centro,Leche (Litro),46.62,4.55,-0.41,7.58
Centro,Frijol (Kg),42.45,5.26,-0.8,15.74
Occidente,Huevo (Kg),53.34,5.89,0.3,23.73
Centro,Tortilla (Kg),54.21,5.31,0.84,11.17
Centro,Aceite (Litro),36.92,3.94,0.75,22.39
Centro,Huevo (Kg),42.42,4.56,1.2,20.28
Norte,Tortilla (Kg),39.02,5.14,0.5,9.96
Sur,Tortilla (Kg),44.1,5.14,-0.3,5.73
Norte,Tortilla (Kg),47.5,6.78,1.23,7.04
Occidente,Frijol (Kg),39.3,4.09,-0.77,19.57
Norte,Aceite (Litro),42.47,5.6,-0.54,8.99
Centro,Huevo (Kg),41.98,6.39,-0.58,12.43
Norte,Huevo (Kg),49.24,7.02,1.65,15.03
Occidente,Huevo (Kg),48.42,4.88,1.4,19.51
Centro,Aceite (Litro),43.67,5.59,0.71,7.26
Centro,Frijol (Kg),49.06,5.66,1.64,13.13
Norte,Tortilla (Kg),44.72,5.36,-0.53,14.7
Sur,Leche (Litro),46.37,5.12,0.53,15.82
Norte,Aceite (Litro),58.04,5.55,0.03,21.37
Occidente,Leche (Litro),56.04,3.17,1.24,8.43
Norte,Aceite (Litro),40.2,5.75,0.04,21.16
Norte,Tortilla (Kg),52.98,5.3,-0.19,18.86
Norte,Leche (Litro),52.87,5.02,0.78,16.12
Centro,Tortilla (Kg),41.11,6.84,1.29,18.99
Centro,Leche (Litro),52.91,4.66,-0.4,13.24
Norte,Leche (Litro),57.23,4.88,0.09,7.77
Sur,Leche (Litro),41.26,6.79,-0.63,18.32
Centro,Frijol (Kg),42.49,4.53,-1.13,15.49
Centro,Huevo (Kg),54.11,4.76,0.36,17.79
Centro,Frijol (Kg),49.63,5.08,0.88,11.76
Centro,Aceite (Litro),51.31,5.87,0.43,23.14
Centro,Aceite (Litro),50.04,5.37,-0.99,16.75
Norte,Huevo (Kg),50.34,4.17,-0.16,6.71
Norte,Huevo (Kg),40.04,4.77,-1.06,14.0
Occidente,Huevo (Kg),54.28,4.71,2.25,20.13
Occidente,Leche (Litro),55.02,5.14,-0.64,20.88
Centro,Leche (Litro),46.62,5.54,2.0,14.89
Norte,Huevo (Kg),47.74,5.53,1.41,22.89
Centro,Frijol (Kg),38.81,3.78,-0.54,10.35
Centro,Leche (Litro),51.09,6.05,-0.66,13.21
Norte,Leche (Litro),51.43,5.4,0.53,22.97
Norte,Frijol (Kg),47.63,6.31,-0.51,22.93
Sur,Frijol (Kg),54.75,5.56,0.25,18.71
Sur,Frijol (Kg),46.0,6.08,-0.27,22.18
Norte,Tortilla (Kg),51.39,5.57,-0.93,6.78
Norte,Frijol (Kg),41.88,6.28,-1.07,22.3
Norte,Frijol (Kg),47.86,5.62,0.39,11.41
Sur,Aceite (Litro),46.95,5.12,-0.32,8.57
Norte,Frijol (Kg),49.35,7.02,-0.32,9.79
Norte,Leche (Litro),45.78,5.91,1.0,13.36
Sur,Huevo (Kg),47.21,5.66,1.83,10.02
Norte,Tortilla (Kg),52.96,4.18,-0.1,11.41
Sur,Huevo (Kg),45.38,4.17,-0.16,7.7
Norte,Huevo (Kg),38.36,5.43,0.73,10.92
Norte,Leche (Litro),58.5,5.32,-0.77,16.45
Norte,Aceite (Litro),56.29,4.71,0.38,13.84
Sur,Huevo (Kg),40.25,5.31,0.8,11.93
Occidente,Tortilla (Kg),52.14,6.47,0.98,19.93
Sur,Leche (Litro),44.98,5.76,-0.98,22.87
Centro,Huevo (Kg),49.58,4.29,-0.46,20.14
Sur,Frijol (Kg),49.77,5.11,-0.53,11.64
Norte,Leche (Litro),46.59,4.56,0.25,19.89
Norte,Frijol (Kg),43.3,4.89,0.7,8.04
Occidente,Huevo (Kg),43.86,4.87,2.55,7.61
Norte,Tortilla (Kg),42.5,4.82,-0.27,11.91
Norte,Leche (Litro),43.01,4.2,-0.28,21.15
Norte,Frijol (Kg),47.6,5.1,1.79,9.93
Norte,Huevo (Kg),43.71,4.75,0.47,6.27
Norte,Leche (Litro),52.09,2.86,2.03,7.63
Centro,Huevo (Kg),56.92,6.84,0.46,22.17
Centro,Leche (Litro),44.52,6.07,-0.68,17.68
Occidente,Huevo (Kg),49.44,4.9,-0.76,10.06
Sur,Aceite (Litro),51.0,5.22,-0.85,16.11
Centro,Tortilla (Kg),50.83,4.26,0.95,15.55
Norte,Tortilla (Kg),48.46,6.56,1.86,18.11
Centro,Huevo (Kg),52.46,6.72,3.5,9.66
Centro,Tortilla (Kg),50.89,5.33,1.23,22.29
Norte,Aceite (Litro),40.57,6.02,1.81,11.19
Centro,Aceite (Litro),53.21,5.34,-0.34,18.88
Centro,Tortilla (Kg),53.32,4.13,-0.68,5.32
Centro,Tortilla (Kg),43.42,4.87,1.25,12.45
Centro,Leche (Litro),48.23,5.31,0.62,12.03
Norte,Aceite (Litro),52.1,4.84,0.26,15.87
Occidente,Frijol (Kg),46.74,5.03,0.58,6.45
Sur,Tortilla (Kg),54.44,5.13,0.5,20.8
Norte,Tortilla (Kg),62.18,5.14,2.06,9.36
Occidente,Frijol (Kg),43.28,5.24,2.09,18.54
Centro,Huevo (Kg),39.71,4.35,0.79,21.06
Occidente,Frijol (Kg),49.82,4.63,1.24,16.24
Sur,Tortilla (Kg),52.33,4.17,0.74,19.82
Centro,Leche (Litro),46.61,5.98,-0.25,18.24
Norte,Huevo (Kg),56.72,3.52,1.1,12.11
Norte,Frijol (Kg),39.97,6.12,-0.79,21.18
Centro,Tortilla (Kg),52.16,6.31,1.6,10.89
Centro,Frijol (Kg),44.36,4.96,-0.69,16.42
Norte,Huevo (Kg),58.32,3.12,0.46,19.91
Norte,Frijol (Kg),59.96,4.91,-0.51,12.58
Sur,Frijol (Kg),43.4,5.15,0.8,11.06
Occidente,Frijol (Kg),44.7,4.39,0.12,14.19
Centro,Frijol (Kg),53.16,4.79,-0.87,21.36
Norte,Frijol (Kg),45.68,6.42,0.62,23.6
Norte,Leche (Litro),47.73,5.73,-0.33,15.9
Norte,Tortilla (Kg),48.15,4.46,1.3,18.23
Occidente,Leche (Litro),36.48,3.92,0.15,23.07
